,Provincia,Partido,Localidad,ADSL,Cablemódem,Dial Up,Fibra óptica,4G,3G,Telefonía Fija,Wireless,Satelital
0,BUENOS AIRES,9 de Julio,Alfredo Demarchi (Est. Facundo Quiroga),SI,--,--,--,SI,SI,SI,--,--
1,BUENOS AIRES,9 de Julio,Carlos María Naón,--,--,--,--,SI,SI,SI,--,--
2,BUENOS AIRES,9 de Julio,Dudignac,--,--,SI,--,SI,SI,SI,SI,--
3,BUENOS AIRES,9 de Julio,La Aurora (Est. La Niña),--,--,--,--,SI,--,--,--,--
4,BUENOS AIRES,9 de Julio,Manuel B. Gonnet (Est. French),SI,--,--,SI,SI,SI,SI,--,--
5,BUENOS AIRES,9 de Julio,Marcelino Ugarte (Est. Dennehy),--,--,--,--,SI,--,SI,--,--
6,BUENOS AIRES,9 de Julio,Morea,--,--,--,--,--,--,SI,SI,--
7,BUENOS AIRES,9 de Julio,Norumbega,--,--,--,--,--,--,SI,--,--
8,BUENOS AIRES,9 de Julio,Patricios,SI,--,--,--,--,SI,SI,SI,--
9,BUENOS AIRES,9 de Julio,Villa General Fournier (Est. 9 de Julio Sud),--,--,--,SI,SI,SI,SI,SI,--
10,BUENOS AIRES,Adolfo Alsina,Carhué,SI,--,SI,SI,SI,SI,SI,SI,--
11,BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,--,--,--,SI,SI,--,SI,--,--
12,BUENOS AIRES,Adolfo Alsina,Delfín Huergo,--,--,--,--,--,--,--,--,--
13,BUENOS AIRES,Adolfo Alsina,Espartillar,--,--,--,--,SI,--,--,--,--
14,BUENOS AIRES,Azul,Ariel,--,--,--,--,SI,--,--,--,--
15,BUENOS AIRES,Azul,Azul,SI,SI,SI,SI,SI,SI,SI,SI,SI
16,BUENOS AIRES,Azul,Cacharí,--,--,SI,--,SI,SI,SI,SI,--
17,BUENOS AIRES,Azul,Chillar,--,--,--,--,SI,SI,SI,SI,SI
18,BUENOS AIRES,Bahía Blanca,Bahía Blanca,SI,SI,SI,SI,SI,SI,SI,SI,SI
19,BUENOS AIRES,Bahía Blanca,Cabildo,--,SI,SI,SI,SI,SI,SI,SI,--
20,BUENOS AIRES,Bahía Blanca,General Daniel Cerri (Est. General Cerri),SI,SI,SI,SI,SI,SI,SI,SI,--
21,BUENOS AIRES,Bahía Blanca,Grunbein,--,--,--,--,SI,SI,--,--,--
22,BUENOS AIRES,Bahía Blanca,Ingeniero White,--,--,--,SI,SI,SI,--,--,SI
23,BUENOS AIRES,General Pueyrredón,Chapadmalal,SI,--,--,SI,SI,SI,SI,SI,SI
24,BUENOS AIRES,General Pueyrredón,El Marquesado,--,--,--,--,--,--,SI,SI,--
25,BUENOS AIRES,General Pueyrredón,Estacion Camet,--,--,--,--,SI,SI,--,--,--
26,BUENOS AIRES,General Pueyrredón,Estación Chapadmalal,SI,--,--,SI,SI,SI,--,SI,--
27,BUENOS AIRES,General Pueyrredón,Mar del Plata,SI,SI,SI,SI,SI,SI,SI,SI,SI
28,BUENOS AIRES,General Pueyrredón,Punta Mogotes,--,--,--,--,SI,SI,--,--,--
29,BUENOS AIRES,General Pueyrredón,Sierra de los Padres,SI,--,--,SI,SI,SI,SI,SI,--
30,BUENOS AIRES,General Rodríguez,Barrio Ruta 24 Kilómetro 10,--,--,--,SI,SI,SI,--,--,--
31,BUENOS AIRES,General Rodríguez,Country Club Bosque Real - Barrio Morabo,--,--,--,--,SI,SI,--,--,--
32,BUENOS AIRES,Pellegrini,Pellegrini,SI,SI,SI,--,SI,SI,SI,SI,SI
33,BUENOS AIRES,Pergamino,Acevedo,SI,SI,--,--,SI,SI,SI,SI,--
34,BUENOS AIRES,Pergamino,Fontezuela,SI,--,--,SI,--,--,SI,SI,--
35,BUENOS AIRES,Pergamino,Guerrico,--,SI,--,--,SI,SI,--,SI,SI
36,BUENOS AIRES,Pergamino,Juan A. de la Peña,--,--,--,--,--,--,--,SI,--
37,BUENOS AIRES,Pergamino,Juan Anchorena (Est. Urquiza),SI,--,--,SI,SI,SI,SI,SI,--
38,BUENOS AIRES,Pergamino,La Violeta,SI,--,--,--,SI,SI,SI,--,--
39,BUENOS AIRES,Pergamino,Manuel Ocampo,--,--,--,SI,SI,SI,SI,SI,--
40,BUENOS AIRES,Pergamino,Mariano Benítez,--,--,--,--,--,--,SI,--,--
41,BUENOS AIRES,Pergamino,Mariano H. Alfonzo (Est. San Patricio),--,--,--,--,SI,SI,--,--,SI
42,BUENOS AIRES,Pergamino,Pergamino,SI,SI,SI,SI,SI,SI,SI,SI,SI
43,BUENOS AIRES,Pergamino,Pinzón,--,--,--,--,--,--,--,SI,--
44,MENDOZA,Lavalle,El Paramillo,--,--,--,--,--,--,--,--,--
45,CABA,COMUNA 12,VILLA PUEYRREDON,SI,SI,SI,SI,SI,SI,SI,SI,SI
46,CATAMARCA,Ambato,Los Varela,--,--,--,--,SI,--,--,--,SI
47,CATAMARCA,Ambato,Singuil,--,--,--,--,SI,--,--,--,--
48,CATAMARCA,Ancasti,Ancasti,--,--,--,--,SI,--,SI,--,SI
49,CATAMARCA,Ancasti,Anquincila,--,--,--,--,--,--,--,--,--
50,CATAMARCA,Ancasti,La Candelaria,--,--,--,--,--,--,--,--,--
51,CATAMARCA,Ancasti,La Majada,--,--,--,--,--,--,--,--,--
52,CATAMARCA,Andalgalá,Aconquija,--,--,--,--,SI,SI,--,--,SI
53,CATAMARCA,Andalgalá,Alto De Las Juntas,--,--,--,--,--,--,--,--,--
54,CATAMARCA,Andalgalá,Amanao,--,--,--,--,--,SI,SI,--,--
55,CATAMARCA,Andalgalá,Andalgalá,SI,--,--,SI,SI,SI,SI,SI,SI
56,CATAMARCA,Andalgalá,Buena Vista,--,--,--,--,--,--,--,--,--
57,CATAMARCA,Andalgalá,Chaquiago,--,--,--,SI,--,--,--,SI,SI
58,CATAMARCA,Andalgalá,Choya,--,--,--,--,--,--,--,--,--
59,CATAMARCA,Andalgalá,El Alamito,--,--,--,--,--,--,--,SI,--
60,CATAMARCA,Andalgalá,El Lindero,--,--,--,--,--,--,SI,--,--
61,CATAMARCA,Andalgalá,El Potrero,--,--,--,SI,--,--,SI,--,--
62,CATAMARCA,Andalgalá,La Aguada,--,--,--,SI,--,--,--,SI,--
63,CATAMARCA,Andalgalá,La Mesada,--,--,--,SI,--,--,--,--,--
64,CATAMARCA,Antofagasta de la Sierra,Antofagasta de la Sierra,--,--,--,--,SI,--,SI,--,SI
65,CATAMARCA,Antofagasta de la Sierra,Antofalla,--,--,--,--,--,--,--,--,--
66,CATAMARCA,Antofagasta de la Sierra,El Peñón,--,--,--,--,--,--,SI,--,--
67,CATAMARCA,Antofagasta de la Sierra,Los Nacimientos,--,--,--,--,--,--,--,--,--
68,CATAMARCA,Belén,Barranca Larga,--,--,--,--,--,--,SI,--,--
69,CATAMARCA,Belén,Belén,--,--,--,--,SI,SI,SI,SI,SI
70,CATAMARCA,Belén,Cóndor Huasi,--,--,--,--,--,--,--,--,--
71,CATAMARCA,Belén,Corral Quemado,--,--,--,--,--,--,SI,--,--
72,CATAMARCA,Belén,El Durazno,--,--,--,--,--,--,--,--,SI
73,CATAMARCA,Belén,Farallón Negro,--,--,--,--,SI,--,SI,--,--
74,CATAMARCA,Belén,Hualfín,--,--,--,--,SI,--,SI,--,SI
75,CATAMARCA,Belén,Jacipunco,--,--,--,--,--,--,SI,--,--
76,CORDOBA,San Javier,Villa de las Rosas,--,--,--,--,SI,SI,--,SI,--
77,CORDOBA,San Javier,Villa Dolores,SI,SI,--,SI,SI,SI,SI,SI,--
78,CORDOBA,San Javier,Villa La Viña,--,--,--,--,--,--,--,SI,--
79,CORDOBA,San Justo,Alicia,--,SI,--,SI,SI,SI,SI,--,SI
80,CORDOBA,San Justo,Altos de Chipión,--,--,--,SI,SI,SI,SI,--,SI
81,CORDOBA,San Justo,Arroyito,SI,SI,--,SI,SI,SI,SI,SI,SI
82,CORDOBA,San Justo,Balnearia,--,--,--,--,SI,SI,SI,--,--
83,CORDOBA,San Justo,Brinkmann,SI,--,--,SI,SI,SI,SI,--,--
84,CORDOBA,San Justo,Colonia 10 de Julio,--,--,--,--,--,--,--,--,--
85,CORDOBA,San Justo,Colonia Anita,--,--,--,--,--,--,--,SI,--
86,CORDOBA,San Justo,Colonia Iturraspe,--,--,--,--,--,--,--,--,--
87,CORDOBA,San Justo,Colonia Las Pichanas,--,--,--,--,--,--,--,SI,--
88,ENTRE RIOS,Uruguay,Caseros,SI,--,--,SI,SI,SI,SI,SI,--
89,ENTRE RIOS,Uruguay,Colonia Elía,--,--,--,SI,SI,--,SI,SI,--
90,ENTRE RIOS,Uruguay,Concepción del Uruguay,SI,SI,SI,SI,SI,SI,SI,SI,--
91,ENTRE RIOS,Uruguay,Estancia San Pedro,--,--,--,--,--,--,--,SI,--
92,ENTRE RIOS,Uruguay,Herrera,SI,--,--,--,SI,--,SI,SI,--
93,ENTRE RIOS,Uruguay,Las Moscas,--,--,--,SI,SI,--,SI,SI,--
94,ENTRE RIOS,Uruguay,Líbaros,--,--,--,--,--,--,SI,SI,--
95,ENTRE RIOS,Uruguay,Pronunciamiento,--,--,--,--,SI,SI,SI,SI,--
96,ENTRE RIOS,Uruguay,Rocamora,--,--,--,--,--,--,SI,SI,--
97,ENTRE RIOS,Uruguay,Santa Anita,--,--,--,SI,SI,--,SI,SI,--
98,ENTRE RIOS,Uruguay,Villa Mantero,SI,--,--,SI,SI,SI,SI,SI,SI
99,ENTRE RIOS,Uruguay,Villa San Justo,--,--,--,SI,SI,SI,SI,SI,--
100,ENTRE RIOS,Uruguay,Villa San Marcial (Est. Gobernador Urquiza),--,--,--,--,SI,SI,SI,SI,--
101,ENTRE RIOS,Victoria,Antelo,--,--,--,--,--,--,--,--,--
102,MENDOZA,Lavalle,El Vergel,--,--,--,--,--,--,--,SI,--
103,MENDOZA,Lavalle,Ingeniero Gustavo André,--,--,--,--,--,--,--,SI,--
104,MENDOZA,Lavalle,Jocolí,--,--,--,--,--,--,--,SI,--
105,MENDOZA,Lavalle,Jocolí Viejo,--,--,--,--,--,--,--,SI,--
106,MENDOZA,Lavalle,Las Violetas,--,--,--,--,--,--,--,--,--
107,MENDOZA,Lavalle,Villa Tulumaya,--,--,--,SI,SI,SI,--,SI,--
108,MENDOZA,Luján de Cuyo,Agrelo,SI,--,--,SI,SI,SI,SI,SI,--
109,MENDOZA,Luján de Cuyo,Barrio Adina I Y Ii,--,--,--,--,SI,SI,--,--,--
110,MENDOZA,Luján de Cuyo,Barrio Perdriel IV,--,--,--,SI,SI,--,--,SI,--
111,MENDOZA,Luján de Cuyo,Cacheuta,SI,--,--,--,SI,SI,SI,SI,--
112,MENDOZA,Luján de Cuyo,CARRODILLA,--,--,--,SI,SI,SI,--,SI,--
113,MENDOZA,Luján de Cuyo,CHACRAS DE CORIA,--,--,--,SI,SI,SI,--,SI,--
114,MENDOZA,Luján de Cuyo,Costa Flores,--,--,--,SI,SI,SI,--,SI,--
115,MENDOZA,Luján de Cuyo,El Carmelo,--,--,--,--,--,--,--,--,--
116,MENDOZA,Luján de Cuyo,El Carrizal,--,--,--,--,SI,--,--,SI,--
117,MENDOZA,Luján de Cuyo,El Salto,--,--,--,--,--,--,SI,SI,--
118,MENDOZA,Luján de Cuyo,La Puntilla,--,--,--,SI,--,--,--,SI,--
119,MENDOZA,Rivadavia,Rivadavia,SI,--,SI,SI,SI,SI,SI,SI,SI
120,MENDOZA,Rivadavia,Santa María de Oro,--,--,--,--,--,--,--,SI,--
121,MENDOZA,San Carlos,Barrio Carrasco,--,--,--,--,--,--,--,--,--
122,MENDOZA,San Carlos,Barrio El Cepillo,--,--,--,--,--,--,--,SI,--
123,MENDOZA,San Carlos,Chilecito,--,--,--,--,SI,SI,--,SI,--
124,MENDOZA,San Carlos,Eugenio Bustos,SI,--,--,--,SI,SI,SI,SI,--
125,MENDOZA,San Carlos,La Consulta,SI,--,--,--,SI,SI,SI,SI,SI
126,MENDOZA,San Carlos,Pareditas,--,--,--,SI,SI,SI,SI,SI,--
127,MENDOZA,San Carlos,San Carlos,--,SI,--,--,SI,SI,--,SI,--
128,MENDOZA,San Martín,Alto Salvador,--,--,--,SI,--,--,SI,SI,--
129,MENDOZA,San Martín,Alto Verde,--,--,--,SI,--,--,--,SI,--
130,MENDOZA,San Martín,Barrio Chivilcoy,--,--,--,--,--,--,--,--,--
131,MENDOZA,San Martín,Barrio Emanuel,--,--,--,--,--,--,--,--,--
132,MENDOZA,San Martín,Barrio La Estación,--,--,--,--,--,--,--,--,--
133,MENDOZA,San Martín,Barrio Los Charabones,--,--,--,--,--,--,--,--,--
134,MENDOZA,San Martín,Barrio Ntra. Sra. De Fátima,--,--,--,--,--,SI,--,--,--
135,MENDOZA,San Martín,Chapanay,--,--,SI,SI,SI,SI,SI,SI,--
136,MENDOZA,San Martín,Chivilcoy,--,--,--,--,--,--,--,--,--
137,MENDOZA,San Martín,El Espino,--,--,--,--,--,--,--,SI,--
138,SALTA,La Caldera,La Caldera,--,--,--,SI,SI,SI,SI,SI,SI
139,SALTA,La Caldera,Vaqueros,SI,--,--,SI,SI,SI,SI,SI,--
140,SALTA,La Candelaria,El Jardín,--,--,--,SI,SI,--,SI,--,SI
141,SALTA,La Candelaria,El Tala,--,--,--,SI,SI,SI,SI,SI,SI
142,SALTA,La Candelaria,La Candelaria,--,--,--,SI,SI,--,SI,--,--
143,SALTA,La Poma,Cobres,--,--,--,--,--,--,--,--,--
144,SALTA,La Poma,La Poma,--,--,--,SI,--,--,--,SI,--
145,SALTA,La Viña,Ampascachi,--,--,--,--,--,--,--,SI,--
146,SALTA,La Viña,Cabra Corral,--,--,--,--,SI,--,--,SI,--
147,SALTA,La Viña,Coronel Moldes,SI,--,--,--,SI,SI,SI,SI,SI
148,SALTA,La Viña,La Viña,--,--,--,SI,SI,--,SI,SI,SI
149,SALTA,La Viña,Talapampa,--,--,--,--,--,--,--,SI,--
150,SALTA,Los Andes,Olacapato,--,--,--,SI,--,--,SI,SI,SI
151,SALTA,Los Andes,San Antonio de los Cobres,--,--,--,SI,SI,--,SI,SI,SI
152,SALTA,Los Andes,Santa Rosa de los Pastos Grandes,--,--,--,SI,--,--,--,SI,SI
153,SALTA,Los Andes,Tolar Grande,--,--,--,SI,SI,--,SI,SI,SI
154,SALTA,Metán,El Galpón,SI,--,--,SI,SI,SI,SI,--,SI
155,SALTA,Metán,El Tunal,--,--,--,SI,SI,--,--,--,SI
156,SALTA,Metán,Lumbreras,--,--,--,SI,--,--,--,--,--
157,SALTA,Metán,Metán Viejo,--,--,--,SI,SI,--,--,--,SI
158,SALTA,Metán,Presa El Tunal,--,--,--,--,--,--,--,--,--
159,SALTA,Metán,Río Piedras,SI,--,--,SI,SI,SI,SI,--,SI
160,SALTA,Metán,San José de Metán,SI,--,--,SI,SI,SI,SI,--,SI
161,SALTA,Metán,San José de Orquera,--,--,--,SI,--,--,--,--,--
162,SALTA,Molinos,La Puerta,--,--,--,--,--,--,SI,--,--
163,SALTA,Molinos,Molinos,SI,--,--,SI,SI,--,SI,SI,--
164,SALTA,Molinos,Seclantás,--,--,--,SI,SI,--,SI,SI,SI
165,SALTA,Orán,Aguas Blancas,--,--,--,--,SI,--,SI,SI,SI
166,SALTA,Orán,Colonia Santa Rosa,--,SI,--,--,SI,SI,SI,SI,SI
167,SALTA,Orán,El Tabacal,--,--,--,SI,SI,--,SI,--,--
168,SANTA CRUZ,Deseado,Las Heras,--,--,--,SI,SI,SI,--,SI,SI
169,SANTA CRUZ,Deseado,Pico Truncado,--,--,--,SI,SI,SI,--,SI,SI
170,SANTA CRUZ,Deseado,Puerto Deseado,SI,--,SI,--,SI,SI,SI,--,SI
171,SANTA CRUZ,Deseado,Tellier,--,--,--,--,--,--,--,--,SI
172,SANTA CRUZ,Güer Aike,28 de Noviembre,--,--,--,SI,SI,SI,SI,SI,SI
173,SANTA CRUZ,Güer Aike,El Turbio (Est. Gobernador Mayer),--,--,--,--,--,--,--,--,SI
174,SANTA CRUZ,Güer Aike,Julia Dufour,--,--,--,--,SI,--,--,--,--
175,SANTA CRUZ,Güer Aike,Mina 3,--,--,--,--,--,SI,--,--,SI
176,SANTA CRUZ,Güer Aike,Río Gallegos,--,SI,SI,SI,SI,SI,SI,--,SI
177,SANTA CRUZ,Güer Aike,Rospentek,--,--,--,--,--,--,SI,--,--
178,SANTA CRUZ,Güer Aike,Yacimientos Río Turbio,--,--,--,--,SI,SI,SI,--,SI
179,SANTA CRUZ,Lago Argentino,El Calafate,SI,--,--,SI,SI,SI,SI,SI,SI
180,SANTA FE,Las Colonias,Nuevo Torino,SI,--,--,--,SI,--,--,SI,--
181,SANTA FE,Las Colonias,Pilar,SI,--,--,SI,SI,SI,SI,SI,--
182,SANTA FE,Las Colonias,Plaza Matilde,--,--,--,--,--,--,--,--,--
183,SANTA FE,Las Colonias,Progreso,--,--,--,--,SI,SI,SI,SI,--
184,SANTA FE,Las Colonias,Providencia,--,--,--,--,SI,--,SI,SI,--
185,SANTA FE,Las Colonias,Sa Pereyra,SI,--,--,--,--,--,SI,SI,--
186,SANTA FE,Las Colonias,San Agustín,--,--,--,--,SI,SI,SI,SI,--
187,SANTA FE,Las Colonias,San Carlos Centro,SI,SI,--,SI,SI,SI,SI,SI,--
188,SANTA FE,Las Colonias,San Carlos Norte,--,SI,--,SI,SI,--,SI,SI,--
189,SANTA FE,Las Colonias,San Carlos Sud,SI,SI,--,SI,SI,SI,SI,SI,--
190,SANTA FE,Las Colonias,San Jerónimo del Sauce,--,--,--,SI,SI,SI,SI,SI,--
191,SANTA FE,Las Colonias,San Jerónimo Norte,SI,--,--,SI,SI,SI,SI,SI,--
192,SANTA FE,Las Colonias,San Mariano,--,--,--,--,--,--,SI,--,--
193,CORDOBA,San Justo,Devoto,SI,--,--,SI,SI,SI,SI,--,--
194,CORDOBA,San Justo,El Arañado,--,SI,--,--,SI,SI,SI,SI,SI
195,CORDOBA,San Justo,El Fortín,--,SI,--,--,SI,SI,SI,SI,--
196,CORDOBA,San Justo,El Fuertecito,--,--,--,--,SI,--,SI,SI,--
197,CORDOBA,San Justo,El Tío,SI,SI,--,SI,SI,SI,SI,--,--
198,CORDOBA,San Justo,Estación Luxardo,--,--,--,--,SI,SI,--,SI,--
199,CORDOBA,San Justo,Freyre,SI,SI,--,SI,SI,SI,SI,SI,--
200,CORDOBA,San Justo,La Francia,SI,--,--,SI,SI,SI,SI,SI,--
201,CORDOBA,San Justo,La Paquita,SI,--,--,--,SI,--,--,SI,--
202,CORDOBA,San Justo,La Tordilla,SI,--,--,--,SI,SI,SI,SI,--
203,CORDOBA,San Justo,Las Varas,--,--,--,SI,SI,SI,SI,--,--
204,MENDOZA,Luján de Cuyo,Las Carditas,--,--,--,--,--,--,--,--,--
205,MENDOZA,Luján de Cuyo,Las Compuertas,SI,--,SI,--,SI,--,SI,SI,--
206,MENDOZA,Luján de Cuyo,Las Vegas,--,--,--,--,--,--,SI,SI,--
207,MENDOZA,Luján de Cuyo,Los Manantiales,--,--,--,--,SI,SI,--,--,--
208,MENDOZA,Luján de Cuyo,Luján de Cuyo,SI,SI,SI,SI,SI,SI,SI,SI,--
209,MENDOZA,Luján de Cuyo,MAYOR DRUMMOND,--,--,--,SI,SI,SI,--,SI,--
210,MENDOZA,Luján de Cuyo,Perdriel,SI,--,SI,SI,--,SI,SI,SI,--
211,MENDOZA,Luján de Cuyo,Piedras Blancas,--,--,--,--,--,--,--,--,--
212,MENDOZA,Luján de Cuyo,Potrerillos,--,--,--,SI,SI,SI,SI,SI,SI
213,MENDOZA,Luján de Cuyo,Ugarteche,--,--,--,SI,SI,SI,SI,SI,--
214,MENDOZA,Luján de Cuyo,Valle Del Sol,--,--,--,--,--,--,--,--,--
215,MENDOZA,Luján de Cuyo,Villa El Refugio,--,--,--,--,--,--,--,--,--
216,MENDOZA,Luján de Cuyo,VISTALBA,--,--,--,SI,SI,SI,--,SI,--
217,MENDOZA,Maipú,Barrancas,--,--,--,--,SI,SI,SI,SI,--
218,MENDOZA,Maipú,Barrio Jesús de Nazaret,--,--,--,--,--,--,--,SI,--
219,BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,--,--,--,SI,--,--,SI,--,--
220,BUENOS AIRES,Adolfo Alsina,La Pala,--,--,--,--,--,--,--,--,--
221,BUENOS AIRES,Adolfo Alsina,Maza,--,--,--,SI,SI,SI,SI,SI,SI
222,BUENOS AIRES,Adolfo Alsina,Rivera,--,--,--,SI,SI,--,SI,--,--
223,BUENOS AIRES,Adolfo Alsina,Thames,--,--,--,--,--,--,--,--,--
224,BUENOS AIRES,Adolfo Alsina,Villa Margarita,--,--,--,--,--,--,--,--,--
225,BUENOS AIRES,Adolfo Alsina,Yutuyaco,--,--,--,--,--,--,--,--,--
226,BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves (Est. Chaves),SI,--,SI,SI,SI,SI,SI,SI,--
227,BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,--,--,--,SI,SI,SI,SI,SI,--
228,BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,--,--,--,--,--,--,SI,SI,--
229,BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,--,--,--,--,SI,SI,SI,SI,--
230,BUENOS AIRES,Alberti,Alberti (Est. Andrés Vaccarezza),SI,--,SI,SI,SI,SI,SI,SI,--
231,BUENOS AIRES,Alberti,Coronel Seguí,--,--,--,--,--,--,--,--,--
232,BUENOS AIRES,Alberti,Mechita,SI,--,--,--,SI,SI,--,--,--
233,BUENOS AIRES,Alberti,Pla,--,--,--,--,--,--,SI,--,--
234,BUENOS AIRES,Alberti,Villa Grisolía (Est. Achupallas),--,--,--,--,SI,SI,--,--,--
235,BUENOS AIRES,Alberti,Villa María,--,--,--,--,--,--,--,--,--
236,BUENOS AIRES,Cañuelas,Barrio Belgrano-Máximo Paz,--,--,--,--,SI,SI,--,SI,--
237,BUENOS AIRES,Cañuelas,Barrio El Taladro,--,--,--,SI,SI,--,--,--,--
238,BUENOS AIRES,Cañuelas,Cañuelas,SI,SI,SI,SI,SI,SI,SI,SI,SI
239,BUENOS AIRES,Cañuelas,Gobernador Udaondo,--,--,--,SI,SI,--,--,SI,--
240,BUENOS AIRES,Cañuelas,Máximo Paz,--,SI,--,SI,--,--,--,SI,--
241,BUENOS AIRES,Cañuelas,Santa Rosa,--,--,--,--,SI,SI,--,SI,SI
242,BUENOS AIRES,Cañuelas,Uribelarrea,SI,--,--,SI,SI,SI,SI,SI,--
243,BUENOS AIRES,Cañuelas,Vicente Casares,SI,--,SI,--,SI,SI,SI,SI,--
244,BUENOS AIRES,Capitán Sarmiento,Capitán Sarmiento,SI,SI,--,SI,SI,SI,SI,SI,--
245,BUENOS AIRES,Capitán Sarmiento,La Luisa,--,--,--,--,--,--,--,SI,--
246,BUENOS AIRES,Carlos Casares,Bellocq,--,--,SI,--,--,--,SI,--,--
247,BUENOS AIRES,Carlos Casares,Cadret,--,--,--,--,--,--,SI,SI,--
248,BUENOS AIRES,Carmen de Areco,Pueblo Gouin,--,--,--,--,--,--,--,SI,--
249,BUENOS AIRES,General Rodríguez,General Rodríguez,SI,SI,SI,SI,SI,SI,SI,SI,SI
250,BUENOS AIRES,General San Martín,Barrio Parque General San Martin,--,--,SI,SI,SI,--,SI,SI,--
251,BUENOS AIRES,General San Martín,Billinghurst,SI,SI,--,SI,SI,SI,SI,--,--
252,BUENOS AIRES,General San Martín,Ciudad Del Libertador General San Martin,SI,SI,--,SI,SI,SI,SI,SI,SI
253,BUENOS AIRES,General San Martín,Ciudad Jardin El Libertador,--,SI,--,--,SI,SI,SI,--,--
254,BUENOS AIRES,General San Martín,Va Ma Irene De Los Remedios De Escalada,--,SI,--,--,SI,SI,--,--,--
255,BUENOS AIRES,General San Martín,Villa Ayacucho,--,SI,--,SI,SI,SI,--,--,--
256,BUENOS AIRES,General San Martín,Villa Ballester,SI,SI,SI,SI,SI,SI,SI,SI,--
257,MENDOZA,Malargüe,Bardas Blancas,--,--,--,--,SI,--,SI,--,--
258,BUENOS AIRES,Pergamino,Rancagua,SI,--,--,SI,SI,--,SI,--,--
259,BUENOS AIRES,Pergamino,Villa Angélica (Est. El Socorro),--,SI,--,--,SI,SI,--,--,--
260,BUENOS AIRES,Pergamino,Villa San José,--,--,--,SI,--,--,SI,--,--
261,BUENOS AIRES,Pila,Casalins,--,--,--,--,--,SI,--,SI,--
262,BUENOS AIRES,Pila,Pila,--,--,SI,SI,SI,SI,SI,SI,--
263,BUENOS AIRES,Pilar,Barrio Parque Almirante Irizar (Ap. Kilómetro 61),--,--,--,--,SI,SI,--,--,--
264,BUENOS AIRES,Pilar,Club de Campo Larena - Los Quinchos,--,--,--,--,SI,--,--,--,--
265,BUENOS AIRES,Pilar,Country Club El Jagüel,--,--,--,--,SI,SI,--,--,--
266,BUENOS AIRES,Pilar,Del Viso,SI,SI,--,SI,SI,SI,SI,SI,--
267,BUENOS AIRES,Pilar,Fátima,SI,SI,--,SI,SI,SI,SI,SI,--
268,BUENOS AIRES,Pilar,La Lonja,SI,SI,--,SI,SI,SI,SI,SI,--
269,CABA,COMUNA 12,VILLA URQUIZA,SI,SI,SI,SI,SI,SI,SI,SI,SI
270,CATAMARCA,Fray Mamerto Esquiú,San José,--,--,--,--,SI,SI,--,--,--
271,CATAMARCA,Fray Mamerto Esquiú,Villa Las Pirquitas,--,--,--,--,SI,--,--,--,SI
272,CATAMARCA,La Paz,Casa de Piedra,--,--,--,--,--,--,--,--,--
273,CATAMARCA,La Paz,El Aybal,--,--,--,--,--,--,--,--,--
274,CATAMARCA,La Paz,El Bañado,--,--,--,--,--,--,--,--,--
275,CATAMARCA,La Paz,El Divisadero,--,--,--,--,--,--,SI,--,--
276,CATAMARCA,La Paz,El Quimilo,--,--,--,--,--,--,--,--,--
277,CATAMARCA,La Paz,Esquiú,--,--,--,--,SI,SI,--,--,--
278,CATAMARCA,La Paz,Icaño,--,--,--,--,SI,SI,SI,--,SI
279,CATAMARCA,La Paz,La Dorada,--,--,--,--,--,--,SI,--,--
280,CABA,COMUNA 13,BELGRANO,SI,SI,SI,SI,SI,SI,SI,SI,SI
281,CORDOBA,San Justo,Colonia Marina,--,SI,--,SI,SI,SI,SI,SI,SI
282,CORDOBA,San Justo,Colonia Prosperidad,--,--,--,--,SI,--,SI,--,--
283,CORDOBA,San Justo,Colonia San Bartolomé,--,--,--,--,SI,--,SI,SI,--
284,CORDOBA,San Justo,Colonia San Pedro,--,--,--,--,--,--,--,--,--
285,CORDOBA,San Justo,Colonia Santa María,--,--,--,--,--,--,--,--,--
286,CORDOBA,San Justo,Colonia Valtelina,--,--,--,--,--,--,--,--,--
287,CORDOBA,San Justo,Colonia Vignaud,SI,--,--,SI,SI,SI,SI,--,--
288,CATAMARCA,La Paz,La Guardia,--,--,--,--,SI,--,--,--,--
289,CATAMARCA,La Paz,Las Esquinas,--,--,--,--,--,--,--,--,--
290,CATAMARCA,La Paz,Las Palmitas,--,--,--,--,--,--,--,--,--
291,CATAMARCA,La Paz,Quirós,--,--,--,--,SI,--,SI,SI,--
292,CATAMARCA,La Paz,Ramblones,--,--,--,--,--,--,--,--,--
293,CATAMARCA,La Paz,Recreo,SI,--,--,SI,SI,SI,SI,SI,SI
294,CATAMARCA,La Paz,San Antonio,--,--,--,--,SI,SI,SI,SI,--
295,CATAMARCA,Paclín,Amadores,--,--,--,--,--,--,--,--,--
296,CATAMARCA,Paclín,El Rosario,--,--,--,--,--,--,--,--,--
297,CATAMARCA,Paclín,La Bajada,--,--,--,--,--,--,--,--,--
298,CATAMARCA,Paclín,La Higuera,--,--,--,--,--,--,--,--,--
