,Provincia,Partido,Localidad,ADSL,Cablemódem,Dial Up,Fibra óptica,4G,3G,Telefonía Fija,Wireless,Satelital
2449,BUENOS AIRES,Mar Chiquita,Atlantida,--,--,--,--,SI,SI,--,--,--
2450,BUENOS AIRES,Ensenada,Dique Nº 1,--,--,--,--,SI,SI,--,--,--
2451,BUENOS AIRES,Ensenada,Ensenada,SI,SI,SI,SI,SI,SI,SI,SI,--
2452,BUENOS AIRES,Ensenada,Isla Santiago (Oeste),--,--,--,--,SI,--,--,--,--
2453,BUENOS AIRES,Ensenada,Punta Lara,--,--,--,--,SI,SI,--,--,--
2454,BUENOS AIRES,Ensenada,Villa Catela,--,--,--,--,SI,SI,--,SI,--
2455,BUENOS AIRES,Escobar,Belen de Escobar,SI,SI,--,SI,SI,SI,SI,SI,SI
2456,BUENOS AIRES,Escobar,El cazador,--,SI,--,SI,SI,SI,SI,--,--
2457,BUENOS AIRES,Escobar,Garín,SI,SI,--,SI,SI,SI,SI,SI,SI
2458,CORDOBA,Río Seco,Cerro Colorado,--,--,--,--,SI,SI,--,SI,--
2459,BUENOS AIRES,Luján,Open Door (Est. Dr. Domingo Cabred),SI,--,SI,--,SI,SI,SI,SI,--
2460,BUENOS AIRES,Luján,Torres,SI,--,--,--,SI,SI,SI,SI,--
2461,BUENOS AIRES,Magdalena,Atalaya,--,--,--,SI,--,--,SI,--,--
2462,BUENOS AIRES,Magdalena,General Mansilla (Est. Bartolomé Bavio),--,SI,--,SI,SI,--,SI,--,--
2463,BUENOS AIRES,Magdalena,Los Naranjos,--,--,--,SI,--,--,--,--,--
2464,BUENOS AIRES,Magdalena,Magdalena,SI,SI,SI,--,SI,SI,SI,SI,--
2465,BUENOS AIRES,Magdalena,Roberto J. Payró,--,--,--,--,--,--,--,SI,--
2466,BUENOS AIRES,Magdalena,Vieytes,--,--,--,SI,--,--,SI,SI,--
2467,BUENOS AIRES,Maipú,Las Armas,SI,--,--,--,SI,SI,SI,SI,--
2468,BUENOS AIRES,Maipú,Maipú,SI,--,SI,--,SI,SI,SI,SI,--
2469,BUENOS AIRES,Maipú,Santo Domingo,--,--,--,--,SI,--,SI,SI,SI
2470,BUENOS AIRES,Malvinas Argentinas,Area De Promocion El Triángulo,SI,--,--,SI,SI,SI,--,--,--
2471,SAN LUIS,Belgrano,Santa Rosa Del Gigante,--,--,--,--,--,--,--,--,--
2472,SAN LUIS,Belgrano,Suyuque Nuevo,--,--,--,--,--,--,--,--,--
2473,BUENOS AIRES,Tres Arroyos,Claromecó,SI,--,--,SI,--,--,SI,SI,--
2474,BUENOS AIRES,Tres Arroyos,Copetonas,--,--,--,SI,SI,SI,SI,SI,--
2475,BUENOS AIRES,Tres Arroyos,Dunamar,--,--,--,--,SI,SI,--,--,--
2476,BUENOS AIRES,Tres Arroyos,Lin Calel,--,--,--,--,--,--,--,SI,--
2477,BUENOS AIRES,Tres Arroyos,Micaela Cascallares (Est. Cascallares),--,--,--,SI,SI,SI,SI,SI,--
2478,BUENOS AIRES,Tres Arroyos,Orense,--,--,SI,SI,SI,SI,SI,SI,--
2479,BUENOS AIRES,Tres Arroyos,Reta,--,--,--,--,SI,SI,SI,SI,--
2480,BUENOS AIRES,Tres Arroyos,San Francisco de Bellocq,--,--,--,--,SI,SI,SI,SI,--
